x,y,z,Fz
0,2,37,6.03628267e+01
0,2,38,6.21806587e+01
0,2,39,6.00328198e+01
0,2,40,5.69351047e+01
0,2,41,6.18585511e+01
0,2,42,nan
0,2,43,nan
0,2,44,nan
0,2,45,nan
0,2,46,6.42039435e+01
0,2,47,nan
0,2,48,nan
0,2,49,6.00338492e+01
0,2,50,6.39134398e+01
0,2,51,5.63720451e+01
0,2,52,nan
0,2,53,5.78768033e+01
0,2,54,nan
0,2,55,nan
0,2,56,6.20140401e+01
0,2,57,5.89383334e+01
0,2,58,5.85314697e+01
0,2,59,6.04235926e+01
0,2,60,nan
0,2,61,nan
0,2,62,6.22311263e+01
0,2,63,nan
0,2,64,nan
0,2,65,nan
0,2,66,nan
0,2,67,5.92966945e+01
0,2,68,5.55928229e+01
0,2,69,5.78912251e+01
0,2,70,5.64488570e+01
0,2,71,5.72263686e+01
0,2,72,nan
0,2,73,nan
0,2,74,5.57034172e+01
0,2,75,nan
0,2,76,nan
0,2,77,nan
0,2,78,5.60657338e+01
0,2,79,6.33012148e+01
0,2,80,6.00828975e+01
0,2,81,nan
0,2,82,5.66332098e+01
0,2,83,nan
0,2,84,nan
0,2,85,5.94808690e+01
0,2,86,5.85382664e+01
0,2,87,5.81437472e+01
0,2,88,6.12411752e+01
0,2,89,5.77358120e+01
0,2,90,nan
0,2,91,nan
0,2,92,5.75517710e+01
0,2,93,nan
0,2,94,5.81408801e+01
0,2,95,nan
0,2,96,nan
0,2,97,5.77386070e+01
0,2,98,5.80873665e+01
0,2,99,6.00644157e+01
0,3,0,nan
0,3,1,nan
0,3,2,nan
0,3,3,nan
0,3,4,nan
0,3,5,nan
0,3,6,5.84095109e+01
0,3,7,6.15756881e+01
0,3,8,6.07064663e+01
0,3,9,nan
0,3,10,nan
0,3,11,nan
0,3,12,nan
0,3,13,5.97317409e+01
0,3,14,6.40896843e+01
0,3,15,nan
0,3,16,nan
0,3,17,nan
0,3,18,nan
0,3,19,5.95813220e+01
0,3,20,nan
0,3,21,nan
0,3,22,5.88161189e+01
0,3,23,5.61087328e+01
0,3,24,5.97941454e+01
0,3,25,6.27611279e+01
0,3,26,5.53342421e+01
0,3,27,nan
0,3,28,6.39225207e+01
0,3,29,nan
0,3,30,nan
0,3,31,nan
0,3,32,5.89663898e+01
0,3,33,5.96393792e+01
0,3,34,5.73176296e+01
0,3,35,nan
0,3,36,nan
0,3,37,5.79007714e+01
0,3,38,6.12911779e+01
0,3,39,nan
0,3,40,nan
0,3,41,nan
0,3,42,nan
0,3,43,nan
0,3,44,nan
0,3,45,5.94466708e+01
0,3,46,5.91351379e+01
0,3,47,nan
0,3,48,nan
0,3,49,6.13066741e+01
0,3,50,6.25432463e+01
0,3,51,nan
0,3,52,nan
0,3,53,nan
0,3,54,5.50472911e+01
0,3,55,nan
0,3,56,5.79989357e+01
0,3,57,6.23159111e+01
0,3,58,5.92296274e+01
0,3,59,5.45432401e+01
0,3,60,nan
0,3,61,nan
0,3,62,nan
0,3,63,nan
0,3,64,nan
0,3,65,5.79577161e+01
0,3,66,5.98241288e+01
0,3,67,5.79808780e+01
0,3,68,nan
0,3,69,nan
0,3,70,6.28381618e+01
0,3,71,6.01033903e+01
0,3,72,nan
0,3,73,nan
0,3,74,nan
0,3,75,nan
0,3,76,nan
0,3,77,5.63532410e+01
0,3,78,6.35746701e+01
0,3,79,nan
0,3,80,nan
0,3,81,6.10067198e+01
0,3,82,5.86110111e+01
0,3,83,6.37379207e+01
0,3,84,5.73840899e+01
0,3,85,nan
0,3,86,5.88691584e+01
0,3,87,5.70488938e+01
0,3,88,6.20793871e+01
0,3,89,5.89477933e+01
0,3,90,nan
0,3,91,nan
0,3,92,nan
0,3,93,5.56405272e+01
0,3,94,5.69218384e+01
0,3,95,5.53136902e+01
0,3,96,nan
0,3,97,nan
0,3,98,6.00464590e+01
0,3,99,5.75297656e+01
0,4,0,nan
0,4,1,nan
0,4,2,6.03941292e+01
0,4,3,nan
0,4,4,nan
0,4,5,nan
0,4,6,5.67846668e+01
0,4,7,6.05034619e+01
0,4,8,5.80250389e+01
0,4,9,nan
0,4,10,5.97338973e+01
0,4,11,nan
0,4,12,nan
0,4,13,5.88469707e+01
0,4,14,5.98822147e+01
0,4,15,5.93713818e+01
0,4,16,nan
0,4,17,nan
0,4,18,6.34343842e+01
0,4,19,6.20507454e+01
0,4,20,nan
0,4,21,nan
0,4,22,nan
0,4,23,6.02503477e+01
0,4,24,nan
0,4,25,6.05615584e+01
0,4,26,nan
0,4,27,nan
0,4,28,5.99760612e+01
0,4,29,6.04464676e+01
0,4,30,nan
0,4,31,nan
0,4,32,5.77966351e+01
0,4,33,6.12715776e+01
0,4,34,5.75170253e+01
0,4,35,nan
0,4,36,6.27925393e+01
0,4,37,5.99068380e+01
0,4,38,nan
0,4,39,nan
0,4,40,nan
0,4,41,nan
0,4,42,6.42988644e+01
0,4,43,6.41016993e+01
0,4,44,nan
0,4,45,nan
0,4,46,5.67681137e+01
0,4,47,nan
0,4,48,nan
0,4,49,nan
0,4,50,6.34689804e+01
0,4,51,6.00916494e+01
0,4,52,nan
0,4,53,5.89357001e+01
0,4,54,nan
0,4,55,nan
0,4,56,6.19128466e+01
0,4,57,5.76292742e+01
0,4,58,5.84250015e+01
0,4,59,5.83549010e+01
0,4,60,nan
0,4,61,nan
0,4,62,nan
0,4,63,nan
0,4,64,5.79538850e+01
0,4,65,5.70787933e+01
0,4,66,6.44751871e+01
0,4,67,5.82896432e+01
0,4,68,nan
0,4,69,5.91070029e+01
0,4,70,nan
0,4,71,5.82224050e+01
0,4,72,5.98987400e+01
0,4,73,nan
0,4,74,5.68883464e+01
0,4,75,nan
0,4,76,6.37391675e+01
0,4,77,5.98319202e+01
0,4,78,nan
0,4,79,nan
0,4,80,nan
0,4,81,nan
0,4,82,6.05048690e+01
0,4,83,5.99253158e+01
0,4,84,5.88319336e+01
0,4,85,nan
0,4,86,nan
0,4,87,6.01240029e+01
0,4,88,5.93591945e+01
0,4,89,nan
0,4,90,nan
0,4,91,nan
0,4,92,nan
0,4,93,nan
0,4,94,5.75108445e+01
0,4,95,nan
0,4,96,nan
0,4,97,5.69887115e+01
0,4,98,5.90897826e+01
0,4,99,6.04753796e+01
0,5,0,6.00869683e+01
0,5,1,5.77879689e+01
0,5,2,5.61462340e+01
0,5,3,nan
0,5,4,nan
0,5,5,nan
0,5,6,nan
0,5,7,5.66141368e+01
0,5,8,5.91355640e+01
0,5,9,5.94264043e+01
0,5,10,6.26482320e+01
0,5,11,nan
0,5,12,nan
0,5,13,nan
0,5,14,5.68092084e+01
0,5,15,nan
0,5,16,nan
0,5,17,nan
0,5,18,nan
0,5,19,6.24555571e+01
0,5,20,5.75943944e+01
0,5,21,nan
0,5,22,nan
0,5,23,5.96010789e+01
0,5,24,5.84124935e+01
0,5,25,nan
0,5,26,nan
0,5,27,nan
0,5,28,6.08232053e+01
0,5,29,nan
0,5,30,nan
0,5,31,nan
0,5,32,5.86512672e+01
0,5,33,5.88602059e+01
0,5,34,6.25752191e+01
0,5,35,nan
0,5,36,nan
0,5,37,5.96664791e+01
0,5,38,5.96332866e+01
0,5,39,nan
0,5,40,nan
0,5,41,nan
0,5,42,6.39838874e+01
0,5,43,6.48179170e+01
0,5,44,nan
0,5,45,nan
0,5,46,nan
0,5,47,5.66047752e+01
0,5,48,5.74168324e+01
0,5,49,nan
0,5,50,nan
0,5,51,5.76966428e+01
0,5,52,5.90412239e+01
0,5,53,5.74496328e+01
0,5,54,nan
0,5,55,6.20761710e+01
0,5,56,5.64440325e+01
0,5,57,nan
0,5,58,5.96540034e+01
0,5,59,5.61072552e+01
0,5,60,nan
