x,y,z,vy
0,4,68,-4.06346009e+00
0,4,69,-4.06045394e+00
0,4,70,-4.05658673e+00
0,4,71,-4.05371336e+00
0,4,72,-4.05184261e+00
0,4,73,-4.05177116e+00
0,4,74,-4.05159923e+00
0,4,75,-4.04973305e+00
0,4,76,-4.04622569e+00
0,4,77,-4.04240103e+00
0,4,78,-4.04143070e+00
0,4,79,-4.04434893e+00
0,4,80,-4.05511091e+00
0,4,81,-4.07004006e+00
0,4,82,-4.08543605e+00
0,4,83,-4.09883250e+00
0,4,84,-4.11068645e+00
0,4,85,-4.12107228e+00
0,4,86,-4.12989129e+00
0,4,87,-4.13589569e+00
0,4,88,-4.13906480e+00
0,4,89,-4.14090280e+00
0,4,90,-4.14128548e+00
0,4,91,-4.14072631e+00
0,4,92,-4.14024285e+00
0,4,93,-4.13906047e+00
0,4,94,-4.13603059e+00
0,4,95,-4.13074290e+00
0,4,96,-4.12239723e+00
0,4,97,-4.11524335e+00
0,4,98,-4.11291029e+00
0,4,99,-4.11474829e+00
0,5,0,-4.05927116e+00
0,5,1,-4.06958281e+00
0,5,2,-4.08251432e+00
0,5,3,-4.09189908e+00
0,5,4,-4.09472552e+00
0,5,5,-4.09197485e+00
0,5,6,-4.08081603e+00
0,5,7,-4.06158112e+00
0,5,8,-4.04337227e+00
0,5,9,-4.03345487e+00
0,5,10,-4.03187542e+00
0,5,11,-4.03540971e+00
0,5,12,-4.04207920e+00
0,5,13,-4.04688012e+00
0,5,14,-4.04672730e+00
0,5,15,-4.03943921e+00
0,5,16,-4.02408004e+00
0,5,17,-4.00817206e+00
0,5,18,-3.99693666e+00
0,5,19,-3.99187143e+00
0,5,20,-3.99057178e+00
0,5,21,-3.99082355e+00
0,5,22,-3.99176701e+00
0,5,23,-3.99410412e+00
0,5,24,-4.00063405e+00
0,5,25,-4.01231249e+00
0,5,26,-4.02704293e+00
0,5,27,-4.03984964e+00
0,5,28,-4.04625836e+00
0,5,29,-4.04611829e+00
0,5,30,-4.04266615e+00
0,5,31,-4.03801082e+00
0,5,32,-4.03432861e+00
0,5,33,-4.03045514e+00
0,5,34,-4.02506368e+00
0,5,35,-4.01876363e+00
0,5,36,-4.01290386e+00
0,5,37,-4.00781065e+00
0,5,38,-4.00400973e+00
0,5,39,-4.00140428e+00
0,5,40,-3.99849323e+00
0,5,41,-3.99603748e+00
0,5,42,-3.99391267e+00
0,5,43,-3.99257196e+00
0,5,44,-3.99183521e+00
0,5,45,-3.99203372e+00
0,5,46,-3.99490144e+00
0,5,47,-4.00095746e+00
0,5,48,-4.00712568e+00
0,5,49,-4.00952380e+00
0,5,50,-4.00955083e+00
0,5,51,-4.00728049e+00
0,5,52,-4.00360531e+00
0,5,53,-3.99592604e+00
0,5,54,-3.98426883e+00
0,5,55,-3.97399417e+00
0,5,56,-3.96648341e+00
0,5,57,-3.96129076e+00
0,5,58,-3.95753718e+00
0,5,59,-3.95548092e+00
0,5,60,-3.95512761e+00
0,5,61,-3.95775598e+00
0,5,62,-3.96726882e+00
0,5,63,-3.98496461e+00
0,5,64,-4.00511370e+00
0,5,65,-4.02225476e+00
0,5,66,-4.03364695e+00
0,5,67,-4.03816382e+00
0,5,68,-4.03788489e+00
0,5,69,-4.03559624e+00
0,5,70,-4.03361758e+00
0,5,71,-4.03185945e+00
0,5,72,-4.02962668e+00
0,5,73,-4.02695913e+00
0,5,74,-4.02279914e+00
0,5,75,-4.01669875e+00
0,5,76,-4.01212448e+00
0,5,77,-4.01129620e+00
0,5,78,-4.01448981e+00
0,5,79,-4.02643455e+00
0,5,80,-4.04706667e+00
0,5,81,-4.06895637e+00
0,5,82,-4.08761377e+00
0,5,83,-4.10178151e+00
0,5,84,-4.11284272e+00
0,5,85,-4.12081459e+00
0,5,86,-4.12517069e+00
0,5,87,-4.12556970e+00
0,5,88,-4.12290261e+00
0,5,89,-4.11758032e+00
0,5,90,-4.10918579e+00
0,5,91,-4.10129074e+00
0,5,92,-4.09696918e+00
0,5,93,-4.09297175e+00
0,5,94,-4.08796910e+00
0,5,95,-4.07785394e+00
0,5,96,-4.06396304e+00
0,5,97,-4.05356237e+00
0,5,98,-4.05049396e+00
0,5,99,-4.05282306e+00
0,6,0,-4.03228627e+00
0,6,1,-4.04198368e+00
0,6,2,-4.05207412e+00
0,6,3,-4.05975003e+00
0,6,4,-4.06279281e+00
0,6,5,-4.06163173e+00
0,6,6,-4.05485339e+00
0,6,7,-4.04174242e+00
0,6,8,-4.02691066e+00
0,6,9,-4.01729770e+00
0,6,10,-4.01480177e+00
0,6,11,-4.01783699e+00
0,6,12,-4.02477198e+00
0,6,13,-4.03126941e+00
0,6,14,-4.03322075e+00
0,6,15,-4.02755032e+00
0,6,16,-4.01294766e+00
0,6,17,-3.99374776e+00
0,6,18,-3.97751624e+00
0,6,19,-3.96795065e+00
0,6,20,-3.96288642e+00
0,6,21,-3.96018081e+00
0,6,22,-3.95771612e+00
0,6,23,-3.95597024e+00
0,6,24,-3.95681219e+00
0,6,25,-3.96263690e+00
0,6,26,-3.97162299e+00
0,6,27,-3.98021754e+00
0,6,28,-3.98571500e+00
0,6,29,-3.98712483e+00
0,6,30,-3.98620114e+00
0,6,31,-3.98398613e+00
0,6,32,-3.98045218e+00
0,6,33,-3.97433479e+00
0,6,34,-3.96506661e+00
0,6,35,-3.95717939e+00
0,6,36,-3.95363517e+00
0,6,37,-3.95326067e+00
0,6,38,-3.95402210e+00
0,6,39,-3.95473419e+00
0,6,40,-3.95431101e+00
0,6,41,-3.95371819e+00
0,6,42,-3.95347107e+00
0,6,43,-3.95358818e+00
0,6,44,-3.95492002e+00
0,6,45,-3.95687342e+00
0,6,46,-3.96078702e+00
0,6,47,-3.96686721e+00
0,6,48,-3.97331118e+00
0,6,49,-3.97606649e+00
0,6,50,-3.97673166e+00
0,6,51,-3.97642042e+00
0,6,52,-3.97482373e+00
0,6,53,-3.96964433e+00
0,6,54,-3.96144460e+00
0,6,55,-3.95220656e+00
0,6,56,-3.94400619e+00
0,6,57,-3.93707327e+00
0,6,58,-3.93142127e+00
0,6,59,-3.92695465e+00
0,6,60,-3.92510603e+00
0,6,61,-3.92787203e+00
0,6,62,-3.93789652e+00
0,6,63,-3.95790950e+00
0,6,64,-3.98122314e+00
0,6,65,-4.00037079e+00
0,6,66,-4.01259981e+00
0,6,67,-4.01800890e+00
0,6,68,-4.01976276e+00
0,6,69,-4.02047434e+00
0,6,70,-4.02163940e+00
0,6,71,-4.02290699e+00
0,6,72,-4.02231062e+00
0,6,73,-4.01938045e+00
0,6,74,-4.01230975e+00
0,6,75,-4.00373555e+00
0,6,76,-3.99928143e+00
0,6,77,-3.99925235e+00
0,6,78,-4.00516770e+00
0,6,79,-4.02218659e+00
0,6,80,-4.04580866e+00
0,6,81,-4.07050789e+00
0,6,82,-4.09096014e+00
0,6,83,-4.10728854e+00
0,6,84,-4.11944358e+00
0,6,85,-4.12745587e+00
0,6,86,-4.13042774e+00
0,6,87,-4.12885189e+00
0,6,88,-4.12200186e+00
0,6,89,-4.11002249e+00
0,6,90,-4.09561535e+00
0,6,91,-4.08377166e+00
0,6,92,-4.07619276e+00
0,6,93,-4.06938267e+00
0,6,94,-4.06155605e+00
0,6,95,-4.04975901e+00
0,6,96,-4.03561083e+00
0,6,97,-4.02554956e+00
0,6,98,-4.02286138e+00
0,6,99,-4.02547913e+00
0,7,0,-4.02270258e+00
0,7,1,-4.03078055e+00
0,7,2,-4.03672207e+00
0,7,3,-4.04011762e+00
0,7,4,-4.04086791e+00
0,7,5,-4.03967222e+00
0,7,6,-4.03647462e+00
0,7,7,-4.03033199e+00
0,7,8,-4.02165168e+00
0,7,9,-4.01398293e+00
0,7,10,-4.01084812e+00
0,7,11,-4.01254454e+00
0,7,12,-4.01751595e+00
0,7,13,-4.02308437e+00
0,7,14,-4.02505949e+00
0,7,15,-4.02081737e+00
0,7,16,-4.00758082e+00
0,7,17,-3.98741982e+00
0,7,18,-3.97024799e+00
0,7,19,-3.95864983e+00
0,7,20,-3.95221501e+00
0,7,21,-3.94946098e+00
0,7,22,-3.94704002e+00
