x,y,z,Fy
0,2,34,6.02610083e+01
0,2,35,5.86302243e+01
0,2,36,6.03429068e+01
0,2,37,nan
0,2,38,6.21784361e+01
0,2,39,6.11660591e+01
0,2,40,5.65922236e+01
0,2,41,6.07180466e+01
0,2,42,nan
0,2,43,nan
0,2,44,nan
0,2,45,nan
0,2,46,nan
0,2,47,nan
0,2,48,nan
0,2,49,nan
0,2,50,6.34504718e+01
0,2,51,6.07133059e+01
0,2,52,6.31521410e+01
0,2,53,5.78872411e+01
0,2,54,5.94208563e+01
0,2,55,6.20614551e+01
0,2,56,6.21645753e+01
0,2,57,5.99861431e+01
0,2,58,5.90454427e+01
0,2,59,nan
0,2,60,nan
0,2,61,nan
0,2,62,nan
0,2,63,nan
0,2,64,nan
0,2,65,5.68571827e+01
0,2,66,nan
0,2,67,5.81154121e+01
0,2,68,5.79148852e+01
0,2,69,5.72427571e+01
0,2,70,5.52814197e+01
0,2,71,5.72269682e+01
0,2,72,6.01890018e+01
0,2,73,6.12169406e+01
0,2,74,nan
0,2,75,6.04545212e+01
0,2,76,5.85788585e+01
0,2,77,nan
0,2,78,5.70707178e+01
0,2,79,6.33696816e+01
0,2,80,nan
0,2,81,nan
0,2,82,nan
0,2,83,nan
0,2,84,6.24414219e+01
0,2,85,nan
0,2,86,nan
0,2,87,nan
0,2,88,nan
0,2,89,nan
0,2,90,5.89556688e+01
0,2,91,nan
0,2,92,nan
0,2,93,nan
0,2,94,nan
0,2,95,nan
0,2,96,nan
0,2,97,nan
0,2,98,nan
0,2,99,5.98878020e+01
0,3,0,5.51702799e+01
0,3,1,5.45989872e+01
0,3,2,5.91938406e+01
0,3,3,6.01339610e+01
0,3,4,5.82206795e+01
0,3,5,5.52522918e+01
0,3,6,nan
0,3,7,nan
0,3,8,5.86072676e+01
0,3,9,5.88279856e+01
0,3,10,nan
0,3,11,6.31949754e+01
0,3,12,nan
0,3,13,nan
0,3,14,nan
0,3,15,nan
0,3,16,6.07569746e+01
0,3,17,nan
0,3,18,5.62503610e+01
0,3,19,5.95927128e+01
0,3,20,6.07746416e+01
0,3,21,6.28273564e+01
0,3,22,nan
0,3,23,5.89664131e+01
0,3,24,nan
0,3,25,5.92149848e+01
0,3,26,nan
0,3,27,nan
0,3,28,nan
0,3,29,5.96042486e+01
0,3,30,5.79733044e+01
0,3,31,5.66993411e+01
0,3,32,5.69230412e+01
0,3,33,nan
0,3,34,nan
0,3,35,nan
0,3,36,nan
0,3,37,5.93799168e+01
0,3,38,5.99221591e+01
0,3,39,5.35727429e+01
0,3,40,nan
0,3,41,nan
0,3,42,nan
0,3,43,6.41421337e+01
0,3,44,6.40252705e+01
0,3,45,5.87761365e+01
0,3,46,5.94291805e+01
0,3,47,nan
0,3,48,5.79415895e+01
0,3,49,nan
0,3,50,nan
0,3,51,nan
0,3,52,nan
0,3,53,5.68139316e+01
0,3,54,5.55302217e+01
0,3,55,5.98512970e+01
0,3,56,nan
0,3,57,6.08791249e+01
0,3,58,nan
0,3,59,5.56636264e+01
0,3,60,nan
0,3,61,5.54732590e+01
0,3,62,5.94462521e+01
0,3,63,nan
0,3,64,5.80137130e+01
0,3,65,nan
0,3,66,5.94050960e+01
0,3,67,6.01273339e+01
0,3,68,6.07359252e+01
0,3,69,6.03175299e+01
0,3,70,6.18248915e+01
0,3,71,nan
0,3,72,nan
0,3,73,nan
0,3,74,5.61064430e+01
0,3,75,nan
0,3,76,5.58805914e+01
0,3,77,6.12081262e+01
0,3,78,5.98795702e+01
0,3,79,5.67191509e+01
0,3,80,nan
0,3,81,nan
0,3,82,nan
0,3,83,nan
0,3,84,5.98992314e+01
0,3,85,6.08152948e+01
0,3,86,nan
0,3,87,nan
0,3,88,nan
0,3,89,nan
0,3,90,nan
0,3,91,5.79629268e+01
0,3,92,5.65159395e+01
0,3,93,5.78630543e+01
0,3,94,5.85060830e+01
0,3,95,5.69149478e+01
0,3,96,5.41040305e+01
0,3,97,nan
0,3,98,nan
0,3,99,5.52517754e+01
0,4,0,nan
0,4,1,nan
0,4,2,6.12369990e+01
0,4,3,5.71558311e+01
0,4,4,5.89395496e+01
0,4,5,5.92190459e+01
0,4,6,nan
0,4,7,nan
0,4,8,nan
0,4,9,nan
0,4,10,5.97355377e+01
0,4,11,6.47670106e+01
0,4,12,6.37632458e+01
0,4,13,6.04397559e+01
0,4,14,nan
0,4,15,nan
0,4,16,nan
0,4,17,nan
0,4,18,nan
0,4,19,nan
0,4,20,nan
0,4,21,nan
0,4,22,nan
0,4,23,nan
0,4,24,5.77030720e+01
0,4,25,nan
0,4,26,nan
0,4,27,nan
0,4,28,6.07448473e+01
0,4,29,nan
0,4,30,5.74865110e+01
0,4,31,nan
0,4,32,nan
0,4,33,nan
0,4,34,nan
0,4,35,6.38487987e+01
0,4,36,nan
0,4,37,nan
0,4,38,nan
0,4,39,nan
0,4,40,nan
0,4,41,nan
0,4,42,nan
0,4,43,6.41015914e+01
0,4,44,6.31033087e+01
0,4,45,6.38846597e+01
0,4,46,5.58961024e+01
0,4,47,5.69186191e+01
0,4,48,5.63904519e+01
0,4,49,6.01384778e+01
0,4,50,nan
0,4,51,nan
0,4,52,nan
0,4,53,nan
0,4,54,nan
0,4,55,nan
0,4,56,6.39901784e+01
0,4,57,nan
0,4,58,nan
0,4,59,nan
0,4,60,nan
0,4,61,nan
0,4,62,nan
0,4,63,nan
0,4,64,nan
0,4,65,nan
0,4,66,6.02643429e+01
0,4,67,5.66298693e+01
0,4,68,5.63960850e+01
0,4,69,5.84360192e+01
0,4,70,5.57108946e+01
0,4,71,nan
0,4,72,nan
0,4,73,nan
0,4,74,nan
0,4,75,nan
0,4,76,6.37403962e+01
0,4,77,6.41774887e+01
0,4,78,6.37144051e+01
0,4,79,nan
0,4,80,5.91276426e+01
0,4,81,5.77100111e+01
0,4,82,nan
0,4,83,5.99180738e+01
0,4,84,nan
0,4,85,5.83329958e+01
0,4,86,6.11601103e+01
0,4,87,5.84998098e+01
0,4,88,5.63834301e+01
0,4,89,nan
0,4,90,5.94076477e+01
0,4,91,5.60524711e+01
0,4,92,6.14054678e+01
0,4,93,5.73153030e+01
0,4,94,5.84832793e+01
0,4,95,5.78077909e+01
0,4,96,5.87463379e+01
0,4,97,5.81799035e+01
0,4,98,5.90407970e+01
0,4,99,nan
0,5,0,nan
0,5,1,5.77708223e+01
0,5,2,5.73560428e+01
0,5,3,6.14662661e+01
0,5,4,6.00827490e+01
0,5,5,5.66804773e+01
0,5,6,5.65838032e+01
0,5,7,nan
0,5,8,nan
0,5,9,nan
0,5,10,nan
0,5,11,5.47912596e+01
0,5,12,6.05080144e+01
0,5,13,5.82974841e+01
0,5,14,5.86923428e+01
0,5,15,nan
0,5,16,6.01702376e+01
0,5,17,nan
0,5,18,nan
0,5,19,nan
0,5,20,nan
0,5,21,nan
0,5,22,5.82628451e+01
0,5,23,nan
0,5,24,5.78162913e+01
0,5,25,5.69116866e+01
0,5,26,nan
0,5,27,5.67921333e+01
0,5,28,6.20842802e+01
0,5,29,5.94383777e+01
0,5,30,nan
0,5,31,nan
0,5,32,5.76382725e+01
0,5,33,nan
0,5,34,nan
0,5,35,6.04201883e+01
0,5,36,6.21428574e+01
0,5,37,nan
0,5,38,nan
0,5,39,nan
0,5,40,nan
0,5,41,nan
0,5,42,5.70004826e+01
0,5,43,nan
0,5,44,nan
0,5,45,6.07861949e+01
0,5,46,6.25979823e+01
0,5,47,5.74097591e+01
0,5,48,5.76499115e+01
0,5,49,6.04902862e+01
0,5,50,5.94853376e+01
0,5,51,6.21120406e+01
0,5,52,nan
0,5,53,nan
0,5,54,nan
0,5,55,nan
0,5,56,nan
0,5,57,nan
0,5,58,nan
0,5,59,nan
0,5,60,nan
0,5,61,nan
0,5,62,6.11729380e+01
0,5,63,6.15043507e+01
0,5,64,6.04715184e+01
0,5,65,5.93153652e+01
0,5,66,6.02402616e+01
0,5,67,nan
0,5,68,nan
0,5,69,5.93984231e+01
0,5,70,nan
0,5,71,nan
0,5,72,nan
0,5,73,nan
0,5,74,nan
0,5,75,6.02883716e+01
0,5,76,5.83165658e+01
0,5,77,nan
0,5,78,nan
0,5,79,5.69263348e+01
0,5,80,nan
0,5,81,5.67732012e+01
0,5,82,6.10720310e+01
0,5,83,5.97868782e+01
0,5,84,5.63987824e+01
0,5,85,5.90291355e+01
0,5,86,nan
0,5,87,5.81505886e+01
0,5,88,6.33851488e+01
0,5,89,nan
0,5,90,nan
0,5,91,nan
0,5,92,nan
0,5,93,nan
0,5,94,nan
0,5,95,nan
0,5,96,5.60760003e+01
0,5,97,5.93494911e+01
0,5,98,5.65255763e+01
0,5,99,5.93857277e+01
0,6,0,5.85844375e+01
0,6,1,5.94153066e+01
0,6,2,5.39251182e+01
0,6,3,nan
0,6,4,nan
0,6,5,6.15572458e+01
0,6,6,5.57003345e+01
0,6,7,5.83907565e+01
0,6,8,5.70113753e+01
0,6,9,5.99127092e+01
0,6,10,nan
0,6,11,nan
0,6,12,nan
0,6,13,5.73974255e+01
0,6,14,5.63088631e+01
0,6,15,5.75689631e+01
0,6,16,nan
0,6,17,nan
0,6,18,5.72026494e+01
0,6,19,5.95710270e+01
0,6,20,nan
0,6,21,nan
0,6,22,5.82986558e+01
0,6,23,nan
0,6,24,nan
0,6,25,nan
0,6,26,nan
0,6,27,5.92155265e+01
0,6,28,5.76153850e+01
0,6,29,6.04059130e+01
0,6,30,6.15046084e+01
0,6,31,5.86631179e+01
0,6,32,5.87788740e+01
0,6,33,6.07064859e+01
0,6,34,5.60768334e+01
0,6,35,nan
0,6,36,5.92623676e+01
0,6,37,nan
0,6,38,nan
0,6,39,5.90120978e+01
0,6,40,5.85184632e+01
0,6,41,nan
0,6,42,5.68351152e+01
0,6,43,nan
0,6,44,nan
0,6,45,nan
0,6,46,5.58939786e+01
0,6,47,5.96201747e+01
0,6,48,nan
0,6,49,nan
0,6,50,5.66550405e+01
0,6,51,6.12315866e+01
0,6,52,nan
0,6,53,5.67875035e+01
0,6,54,nan
0,6,55,6.06095095e+01
0,6,56,nan
0,6,57,6.20362879e+01
0,6,58,6.10621295e+01
0,6,59,nan
0,6,60,nan
0,6,61,5.95363425e+01
0,6,62,6.21062388e+01
0,6,63,6.09034494e+01
0,6,64,6.20552911e+01
0,6,65,5.72630079e+01
0,6,66,6.03498400e+01
0,6,67,5.93061856e+01
0,6,68,6.02808595e+01
0,6,69,6.13062011e+01
0,6,70,6.02621015e+01
0,6,71,6.00612628e+01
0,6,72,5.98001520e+01
0,6,73,5.89140887e+01
0,6,74,6.00740683e+01
0,6,75,5.99464516e+01
0,6,76,nan
0,6,77,nan
0,6,78,nan
0,6,79,6.38433492e+01
0,6,80,5.61013084e+01
0,6,81,5.91246640e+01
0,6,82,nan
0,6,83,nan
0,6,84,nan
0,6,85,nan
0,6,86,nan
0,6,87,5.96824500e+01
0,6,88,6.43374363e+01
0,6,89,6.36285257e+01
0,6,90,nan
0,6,91,nan
0,6,92,nan
0,6,93,nan
0,6,94,nan
0,6,95,nan
0,6,96,nan
0,6,97,nan
0,6,98,nan
0,6,99,5.55314673e+01
0,7,0,5.73610561e+01
0,7,1,nan
0,7,2,nan
0,7,3,nan
0,7,4,nan
0,7,5,nan
0,7,6,5.88195356e+01
0,7,7,5.95127368e+01
0,7,8,5.87822925e+01
0,7,9,5.72471652e+01
0,7,10,5.25515933e+01
0,7,11,nan
0,7,12,6.35469946e+01
0,7,13,nan
0,7,14,nan
0,7,15,nan
0,7,16,nan
0,7,17,nan
0,7,18,6.01449151e+01
0,7,19,5.67167130e+01
0,7,20,nan
0,7,21,nan
0,7,22,6.36185518e+01
0,7,23,nan
0,7,24,nan
0,7,25,nan
0,7,26,6.00560384e+01
0,7,27,5.73820871e+01
0,7,28,5.80450350e+01
0,7,29,nan
0,7,30,5.87670785e+01
0,7,31,5.90799994e+01
0,7,32,5.91514469e+01
0,7,33,nan
0,7,34,nan
0,7,35,nan
0,7,36,nan
0,7,37,5.90234220e+01
0,7,38,6.18319521e+01
0,7,39,nan
0,7,40,nan
0,7,41,5.75174146e+01
0,7,42,5.66079740e+01
0,7,43,5.71837471e+01
0,7,44,nan
0,7,45,nan
0,7,46,5.90673377e+01
0,7,47,nan
0,7,48,nan
0,7,49,nan
0,7,50,6.19391085e+01
0,7,51,nan
0,7,52,5.72144725e+01
0,7,53,5.69560318e+01
0,7,54,5.91533375e+01
0,7,55,5.90656925e+01
0,7,56,5.68703956e+01
0,7,57,nan
0,7,58,5.64722998e+01
0,7,59,nan
0,7,60,nan
0,7,61,5.58176718e+01
0,7,62,5.79331942e+01
0,7,63,5.44170594e+01
0,7,64,nan
0,7,65,nan
0,7,66,nan
0,7,67,nan
0,7,68,nan
0,7,69,5.55289144e+01
0,7,70,5.89669525e+01
0,7,71,6.15070133e+01
0,7,72,5.77915661e+01
0,7,73,6.10056255e+01
0,7,74,5.89848430e+01
0,7,75,6.01941194e+01
0,7,76,nan
0,7,77,nan
0,7,78,6.08556112e+01
0,7,79,6.24040418e+01
0,7,80,6.00716052e+01
0,7,81,5.92437294e+01
0,7,82,nan
0,7,83,nan
